host_id,gpu_capacity_num,cpu_num,datacenter_id
host_25,1,192,DC-1
host_26,1,128,DC-1
host_29,1,192,DC-1
host_38,8,192,DC-1
host_10,1,128,DC-1
host_0,1,128,DC-1
host_18,1,128,DC-1
host_36,8,192,DC-1
host_8,1,128,DC-1
host_15,8,128,DC-1
host_40,1,128,DC-1
host_23,1,128,DC-2
host_39,1,192,DC-2
host_24,8,192,DC-2
host_43,1,192,DC-2
host_28,8,192,DC-2
host_42,1,128,DC-2
host_44,1,128,DC-2
host_49,1,128,DC-2
host_47,1,128,DC-2
host_34,8,192,DC-2
host_14,1,128,DC-2
host_19,8,192,DC-3
host_31,1,128,DC-3
host_12,1,128,DC-3
host_35,1,128,DC-3
host_48,1,128,DC-3
host_30,1,128,DC-3
host_20,8,128,DC-3
host_22,1,128,DC-3
host_46,1,128,DC-3
host_37,1,128,DC-3
host_6,8,192,DC-3
host_17,8,128,DC-3
host_7,1,192,DC-3
host_11,1,128,DC-4
host_9,8,128,DC-4
host_33,1,128,DC-4
host_41,1,128,DC-4
host_2,8,192,DC-4
host_27,1,128,DC-4
host_1,1,192,DC-4
host_4,1,128,DC-5
host_45,1,128,DC-5
host_16,1,128,DC-5
host_21,1,128,DC-5
host_3,1,128,DC-5
host_32,8,192,DC-5
host_13,1,192,DC-5
host_5,1,192,DC-5
cloud_host,999999,999999,cloud
