episode,episode_seed,episode_return,decision_count,normal_action_count,forced_action_count,random_action_count,policy_action_count,local_action_count,edge_action_count,cloud_action_count,drop_action_count,total_jobs,completed_jobs,dropped_jobs,unresolved_jobs,queued_jobs,started_from_waiting_jobs,waiting_timeout_drops,max_waiting_queue_length,remaining_waiting_jobs,simulation_end_time,episode_updates,global_decision_steps,global_normal_action_steps,replay_size,replay_trainable_size,replay_forced_size,masac_update_step,critic_loss,q1_loss,q2_loss,actor_loss,alpha_loss,alpha,policy_entropy,target_entropy,mean_q1,mean_q2,mean_target_q,wall_time_seconds,per_agent_returns
1,42,-1825.5233285880643,1417,1417,0,1417,0,894,417,106,0,1000,472,528,0,690,163,527,29,0,15162.875990386214,0,1417,1417,1417,1417,0,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,3.0131212000269443,"{""DC-1"": -344.13924151299454, ""DC-2"": -287.976151562785, ""DC-3"": -366.5011939132224, ""DC-4"": -373.27540226645914, ""DC-5"": -453.6313393326035}"
2,43,-1974.3854607320886,1364,1364,0,1364,0,896,364,104,0,1000,441,559,0,709,150,559,27,0,14109.171329116363,0,2781,2781,2781,2781,0,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,2.5674230000004172,"{""DC-1"": -358.9884244276929, ""DC-2"": -360.0822007516437, ""DC-3"": -306.74710026097733, ""DC-4"": -350.62626288708066, ""DC-5"": -597.9414724046928}"
3,44,-2001.6509353969304,1393,1393,0,1393,0,892,393,108,0,1000,441,559,0,733,174,559,25,0,13102.866539369203,0,4174,4174,4174,4174,0,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,2.8863879999844357,"{""DC-1"": -343.6251869864144, ""DC-2"": -491.1052540768167, ""DC-3"": -230.66369264172795, ""DC-4"": -414.0557609126341, ""DC-5"": -522.2010407793373}"
4,45,-671.0834495389572,1315,1315,0,826,489,590,315,410,0,1000,661,339,0,443,106,337,20,0,12737.87737235395,492,5489,5489,5489,5489,0,492,6.918134986385097,3.444608131075293,3.473526854825214,-1.2079871665057915,-1.1144837727580916,0.09945271164178848,1.026317390302817,0.5323872042865287,-0.5137903828683075,-0.512039333135784,-0.523003815218988,9.625354999967385,"{""DC-1"": -29.43636078743822, ""DC-2"": -109.81201724076716, ""DC-3"": -93.73057378114903, ""DC-4"": -263.1094954749327, ""DC-5"": -174.99500225466977}"
5,46,790.8656327841567,1014,1014,0,0,1014,301,14,699,0,1000,871,129,0,187,61,126,55,0,13094.961826853749,1012,6503,6503,6503,6503,0,1504,4.467804798260037,2.222433522166942,2.24537126655164,-6.1187706347039565,0.636362721738608,0.10113318264484406,0.255569851813698,0.5324488004205726,3.6581318444156423,3.6572297569879666,3.6671907432936868,15.026290200010408,"{""DC-1"": 44.69186297023546, ""DC-2"": 256.0181318294349, ""DC-3"": 189.95618480705127, ""DC-4"": 91.72267595473623, ""DC-5"": 208.47677722269972}"
6,47,681.8760145682995,1000,1000,0,0,1000,360,0,640,0,1000,848,152,0,254,105,149,68,0,13403.850356004168,1000,7503,7503,7503,7503,0,2504,4.132921073198318,2.07772411608696,2.055196961045265,-13.375090169906617,0.35533590873330834,0.10264667123556137,0.37727143704891203,0.532834018111229,10.869657782554626,10.8694769282341,10.876738251686096,15.143852300010622,"{""DC-1"": 263.8219538803899, ""DC-2"": -132.49201497456892, ""DC-3"": 152.7912082697318, ""DC-4"": 174.68523724297037, ""DC-5"": 223.06963014977637}"
7,48,1190.640317020037,1000,1000,0,0,1000,225,0,775,0,1000,936,64,0,124,64,60,13,0,14031.438010139458,1000,8503,8503,8503,8503,0,3504,4.180281586885452,2.103113283634186,2.077168301820755,-21.314651405334473,0.45090617722272874,0.10532308369874954,0.33413171344995496,0.5330803003311158,18.843395051956175,18.842874460220337,18.84791080188751,13.739816999994218,"{""DC-1"": 344.70906134172094, ""DC-2"": 190.2111856625709, ""DC-3"": 186.013530317792, ""DC-4"": 192.42101959978052, ""DC-5"": 277.28552009817145}"
8,49,1083.9010058952038,1000,1000,0,0,1000,262,0,738,0,1000,920,80,0,167,90,77,57,0,14287.644119331277,1000,9503,9503,9503,9503,0,4504,3.924339890241623,1.964438999414444,1.9599008959531785,-29.003099437713622,0.41376972663402556,0.10841134935617447,0.3485083153247833,0.533512682557106,26.717822456359862,26.71665134048462,26.722563566207885,13.348854299983941,"{""DC-1"": 34.542496607591424, ""DC-2"": 277.5480264445421, ""DC-3"": 288.40488008940974, ""DC-4"": 199.4015633506079, ""DC-5"": 284.0040394030537}"
9,50,1217.5274906628058,1000,1000,0,0,1000,221,0,779,0,1000,942,58,0,118,63,55,49,0,13251.780199728739,1000,10503,10503,10503,10503,0,5504,4.284008123159409,2.14161381649971,2.1423943083286288,-36.69176554870605,0.5127192196249962,0.11308491975069046,0.3008686921000481,0.5336375827789307,34.524632036209105,34.524096866607664,34.52898424720764,12.853851799969561,"{""DC-1"": 337.4609741358101, ""DC-2"": 281.44808504121124, ""DC-3"": 54.685857653488014, ""DC-4"": 260.3439430965119, ""DC-5"": 283.5886307357839}"
10,51,1484.7610545832695,1000,1000,0,0,1000,191,0,809,0,1000,983,17,0,71,56,15,10,0,11905.336587157484,1000,11503,11503,11503,11503,0,6504,4.50095190000534,2.2330391812324524,2.2679127165079116,-43.67905410003662,0.5482457690238952,0.11862049996852875,0.279397229552269,0.5336860780715942,41.6966739768982,41.69845734024048,41.700683151245116,13.037500000034925,"{""DC-1"": 344.3480954030766, ""DC-2"": 300.5175533771986, ""DC-3"": 283.26061668279317, ""DC-4"": 245.31482164010401, ""DC-5"": 311.3199674800961}"
11,52,1146.6130399699914,1000,1000,0,0,1000,247,0,753,0,1000,928,72,0,155,86,69,39,0,16331.417888344771,1000,12503,12503,12503,12503,0,7504,4.811777509450913,2.3824079426527023,2.4293695614337922,-50.778041748046874,0.4560025119781494,0.12381336838006973,0.31810454922914505,0.5341742224693299,48.84306004333496,48.84295439529419,48.84342741394043,13.184759799973108,"{""DC-1"": 321.26411887606884, ""DC-2"": 142.56946199742754, ""DC-3"": 279.77240630910495, ""DC-4"": 137.0459918341734, ""DC-5"": 265.9610609532157}"
12,53,1433.7032200912636,1000,1000,0,0,1000,200,0,800,0,1000,976,24,0,90,70,20,14,0,14257.17019424311,1000,13503,13503,13503,13503,0,8504,5.903210252285004,2.90720505297184,2.9960052056312563,-58.43764492797852,0.5362269314527511,0.13046085834503174,0.2744076608121395,0.5342112699747086,56.5554885635376,56.55514421844482,56.549838123321535,15.966127899999265,"{""DC-1"": 366.8058871703009, ""DC-2"": 244.51689995431917, ""DC-3"": 291.8988099143835, ""DC-4"": 241.7089903865947, ""DC-5"": 288.7726326656645}"
13,54,1306.0436413129055,1000,1000,0,0,1000,216,0,784,0,1000,955,45,0,104,61,43,47,0,12542.970243059239,1000,14503,14503,14503,14503,0,9504,6.2737405095100405,3.0877404314279557,3.1860000834465025,-65.46401863098144,0.5463425323367119,0.13754300773143768,0.26244021651148797,0.5342358227968216,63.6952826461792,63.696368103027346,63.695310413360595,17.285014000022784,"{""DC-1"": 318.70019717024087, ""DC-2"": 126.17623461302652, ""DC-3"": 324.2481098308466, ""DC-4"": 246.91394670496635, ""DC-5"": 290.005152993827}"
14,55,1481.2073213643873,1000,1000,0,0,1000,209,0,791,0,1000,983,17,0,85,71,14,18,0,14718.300880610746,1000,15503,15503,15503,15503,0,10504,7.325368137598038,3.598055927157402,3.727312204837799,-71.4537946472168,0.5190604749917984,0.14469890296459198,0.26929239970445634,0.5342476350069046,69.83688288116456,69.8346131439209,69.83768325805664,14.909447000012733,"{""DC-1"": 342.1205404091972, ""DC-2"": 239.1966083167071, ""DC-3"": 335.18413067815214, ""DC-4"": 265.66000673085296, ""DC-5"": 299.0460352294791}"
15,56,1203.106086165846,1000,1000,0,0,1000,346,0,654,0,1000,930,70,0,175,106,69,25,0,15070.307946768218,1000,16503,16503,16503,16503,0,11504,7.995057936668396,3.9248202584981917,4.070237657308579,-76.47103382873536,0.48327717888355254,0.1518966257572174,0.2812090235352516,0.5343362333774566,74.92536479187012,74.92115939331055,74.92646170806884,14.318754100007936,"{""DC-1"": 143.55375471682632, ""DC-2"": 322.9858375328844, ""DC-3"": 167.65767953451794, ""DC-4"": 271.172921032579, ""DC-5"": 297.73589334903835}"
16,57,1170.9833168819957,1000,1000,0,0,1000,322,0,678,0,1000,926,74,0,179,110,69,37,0,13650.811703604591,1000,17503,17503,17503,17503,0,12504,8.58804436326027,4.227477764248848,4.360566611170769,-81.3765489654541,0.4764376882314682,0.15961115062236786,0.27824608954787255,0.5343264360427856,79.90848532104492,79.90904494476318,79.9162137298584,14.328247199999169,"{""DC-1"": 316.38239763018004, ""DC-2"": 280.1861494970822, ""DC-3"": 53.08148696378413, ""DC-4"": 282.4512089545042, ""DC-5"": 238.88207383644556}"
17,58,1413.6934396144343,1000,1000,0,0,1000,266,0,734,0,1000,967,33,0,138,105,33,13,0,13646.875014821911,1000,18503,18503,18503,18503,0,13504,9.22741597676277,4.5250628094673155,4.702353151798248,-86.0080573425293,0.4718340474963188,0.1678561568260193,0.273836168140173,0.5344721215963364,84.66205673980713,84.66385293579101,84.6615581893921,14.286841400025878,"{""DC-1"": 363.43073082976514, ""DC-2"": 264.1164783202545, ""DC-3"": 300.06339057447116, ""DC-4"": 230.66509513045432, ""DC-5"": 255.4177447594889}"
18,59,1468.6910982351717,1000,1000,0,0,1000,232,0,768,0,1000,977,23,0,100,81,19,11,0,12231.052219765912,1000,19503,19503,19503,19503,0,14504,10.663420781135558,5.2520007703304294,5.411420029997825,-90.36358737182617,0.4619146748185158,0.17654386162757874,0.2719040928184986,0.534409878373146,89.05450940704345,89.058794090271,89.0572879486084,14.302643099974375,"{""DC-1"": 371.5253860964634, ""DC-2"": 306.41303452689453, ""DC-3"": 282.0976913709703, ""DC-4"": 224.95894199812042, ""DC-5"": 283.6960442427244}"
19,60,1502.2544177295522,1000,1000,0,0,1000,270,0,730,0,1000,979,21,0,120,102,18,13,0,12649.328448253158,1000,20503,20503,20503,20503,0,15504,11.02594895863533,5.417594427466392,5.608354525089264,-94.50267837524414,0.4296574701666832,0.1853397935628891,0.2832546267211437,0.5344916454553604,93.2622384338379,93.25910655975342,93.26417179107666,14.611294799949974,"{""DC-1"": 353.8658569015897, ""DC-2"": 317.11893976344743, ""DC-3"": 298.698304983088, ""DC-4"": 208.6092993908174, ""DC-5"": 323.9620166906104}"
20,61,1366.0546603215068,1000,1000,0,0,1000,265,0,735,0,1000,961,39,0,142,107,35,28,0,15260.523222704625,1000,21503,21503,21503,21503,0,16504,11.788126264572144,5.812021367430687,5.976104903101921,-97.8986908569336,0.4302884356379509,0.1948988288640976,0.27555443984270095,0.5346083526611328,96.69714915466308,96.69813996887207,96.6973724822998,14.481117099989206,"{""DC-1"": 336.9278137519668, ""DC-2"": 178.52121208641222, ""DC-3"": 290.6141128353452, ""DC-4"": 258.82545084408093, ""DC-5"": 301.1660708037015}"
21,62,1523.3019471697658,1000,1000,0,0,1000,272,0,728,0,1000,983,17,0,124,108,16,11,0,12828.523222704625,1000,22503,22503,22503,22503,0,17504,11.522520140886307,5.660822393536567,5.861697745680809,-101.25774572753906,0.4444035722613335,0.20542959868907928,0.25839204105734825,0.5346006206274032,100.16415705871582,100.16336668395996,100.1644662246704,14.278542299987748,"{""DC-1"": 384.4502452303825, ""DC-2"": 311.9885036203722, ""DC-3"": 287.12334491932467, ""DC-4"": 238.69049672302955, ""DC-5"": 301.0493566766571}"
